id;ref_article;designation;description;prix;quantite_stocke;image;origine;disponiblite;selectionne
1;Buckinghamshire;Small online;maroon copy;95094;18789;Kuwait Sleek backing up;compress;true;true
2;Cocos (Keeling) Islands visualize;e-business microchip fuchsia;Checking Account;87961;37418;generating;Dynamic Principal;true;false
3;alliance bifurcated;programming program;HTTP transmitting;94564;92277;static Borders Rustic;Taka;false;false
4;Outdoors;deposit user-centric Licensed;SAS generating;90791;85949;Refined Cotton Ball AI Borders;Planner Implementation Pre-emptive;false;false
5;Manager;Operations alarm matrix;transmit;67019;39616;Compatible Berkshire Representative;Concrete;true;false
6;web-enabled Forward;Concrete;responsive;93558;48472;back up foreground;Handcrafted Fresh Bike navigate bandwidth;true;false
7;Savings Account Som;Cambridgeshire;Clothing RSS Metal;30060;95866;Shoals indexing;AGP Comoro Franc;false;false
8;Nebraska Handmade;Wooden Soft quantifying;Arizona;1626;36291;Savings Account Auto Loan Account;Movies Money Market Account;false;true
9;sensor human-resource;Concrete Auto Loan Account;architectures deposit;12679;38060;bypassing monitoring Steel;deposit;false;false
10;web-readiness;Taka Handcrafted Soft Shirt Bedfordshire;migration Planner collaborative;84781;27826;Security Burundi;motivating;false;false
