id;code;libelle;famille
1;Jordanian Dinar Health;redundant optical green;world-class withdrawal payment
2;Serbian Dinar Place;engage mindshare;JSON matrices Automotive
3;Berkshire redefine;Shore Cambridgeshire;haptic Dynamic Cambridgeshire
4;Investment Account;Granite;Cambridgeshire Manager
5;transparent deposit Tala;Practical COM;Quality cyan
6;Computers backing up Savings Account;local area network Bedfordshire maroon;exploit cyan Macedonia
7;Ergonomic Metal Chair back-end architecture;Tuna methodologies Facilitator;Graphic Interface
8;overriding architectures SAS;Home Loan Account;Swaziland Liaison Data
9;Ball architecture;alarm South Carolina;navigate Aruban Guilder Buckinghamshire
10;SSL;panel;invoice
