id;ref_commande;etat_commande;destination
1;back-end Vermont;card calculating;parse portals
2;Investor Total;multi-byte navigating deposit;feed full-range Refined
3;Organic Station;leading edge cohesive;Sausages Automotive Incredible
4;Markets copying Product;Handcrafted Rubber Soap;out-of-the-box Home Loan Account
5;Frozen;invoice payment;mobile Tugrik
6;input Optimized Ohio;Managed alarm;Tennessee
7;Liechtenstein channels;e-services backing up;Progressive hacking granular
8;Micronesia Dynamic Licensed;Sudanese Pound;Practical Rubber Towels Quality
9;innovative;Berkshire e-enable bypass;Buckinghamshire bi-directional
10;wireless;USB;Associate convergence
